"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="1338977955235152330","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","3","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1338977955235152330","【会员积分兑礼】THE LAUNDRESS定制小羊","288.00","1","TLYYXY","null","null","null","卖家已发货，等待买家确认","TLYYXY"
="1217393197802845512","【狂欢价】THE LAUNDRESS深色衣物专用护色洗衣精1L护色增艳洗衣液","210.00","1","LAS-003","null","null","null","交易关闭","LAS-003"
="1338826826959730337","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338854690053700252","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1338591313555444697","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","3","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1338611149439308335","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","3","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1337790096910290450","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","交易成功","LAC-006"
="1337790096910290450","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","2","LAL-005","null","null","null","交易成功","LAL-005"
="1337809212584457287","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","2","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1337809212584457287","【狂欢价】THE LAUNDRESS衣物柔软精-经典香氛衣物柔顺剂安心温和","190.00","2","LAS-008","null","null","null","卖家已发货，等待买家确认","LAS-008"
="1338829346608253394","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338967407808688680","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1338967407808688680","【狂欢价】THE LAUNDRESS衣物香氛喷雾-经典香氛250ml香氛香水减淡异味","180.00","1","LAS-010","null","null","null","卖家已发货，等待买家确认","LAS-010"
="1338967407808688680","【品牌新享】THE LAUNDRESS衣物抗静电喷雾60ml","80.00","1","67904551","null","null","null","卖家已发货，等待买家确认","67904551"
="1338967407808688680","【狂欢价】THE LAUNDRESS羊毛羊绒专用香氛喷雾125ml除味剂减轻火锅味异味","100.00","1","LAC-014","null","null","null","卖家已发货，等待买家确认","LAC-014"
="1338607261783333340","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1337798124515023530","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","2","LAC-006","null","null","null","交易成功","LAC-006"
="1338615577680267796","【狂欢价】THE LAUNDRESS衣物柔软精-经典香氛衣物柔顺剂安心温和","190.00","3","LAS-008","null","null","null","卖家已发货，等待买家确认","LAS-008"
="1338824522402142694","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338808538317051250","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338808538317051250","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","1","LAL-005","null","null","null","卖家已发货，等待买家确认","LAL-005"
="1338981411154688589","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1338580441220690163","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","交易关闭","LAC-006"
="1338986379451753398","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1338986379451753398","【狂欢价】THE LAUNDRESS运动衣物洗衣精475ml户外清香浓缩洗衣液","190.00","2","LAS-021","null","null","null","卖家已发货，等待买家确认","LAS-021"
="1217433374621350615","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1217388591152641308","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","1","LAL-005","null","null","null","交易成功","LAL-005"
="1217388591152641308","【狂欢价】THE LAUNDRESS羊毛羊绒专用香氛喷雾125ml除味剂减轻火锅味异味","100.00","1","LAC-014","null","null","null","交易成功","LAC-014"
="1217388591152641308","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","交易成功","LAC-006"
="1338628825035256629","【狂欢价】THE LAUNDRESS衣物柔软精-经典香氛衣物柔顺剂安心温和","190.00","1","LAS-008","null","null","null","卖家已发货，等待买家确认","LAS-008"
="1338628825035256629","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","2","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338952467970381945","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","2","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338935223483198648","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1217381211678378213","【狂欢价】THE LAUNDRESS衣物柔软精-经典香氛衣物柔顺剂安心温和","190.00","2","LAS-008","null","null","null","卖家已发货，等待买家确认","LAS-008"
="1217381211678378213","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1217381211678378213","【狂欢价】THE LAUNDRESS衣物去渍清洁液475ml清洁污渍酵素浓缩洗衣液","190.00","1","LAS-020","null","null","null","卖家已发货，等待买家确认","LAS-020"
="1217431754944883323","【狂欢价】THE LAUNDRESS牛仔布料洗衣精475ml护色洗衣剂","190.00","1","LAS-019","null","null","null","卖家已发货，等待买家确认","LAS-019"
="1217431754944883323","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1217431754944883323","【狂欢价】THE LAUNDRESS衣物去渍清洁液475ml清洁污渍酵素浓缩洗衣液","190.00","1","LAS-020","null","null","null","卖家已发货，等待买家确认","LAS-020"
="1338798458193066996","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338798458193066996","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","1","LAL-005","null","null","null","卖家已发货，等待买家确认","LAL-005"
="1338778442389166881","【天猫福宝】抗静电喷雾 THE LAUNDRESS衣物抗静电喷雾60ml","80.00","1","67904551","null","null","null","卖家已发货，等待买家确认","67904551"
="1217355864998502020","【狂欢价】THE LAUNDRESS深色衣物专用护色洗衣精1L护色增艳洗衣液","210.00","1","LAS-003","null","null","null","交易成功","LAS-003"
="1217355864998502020","【狂欢价】THE LAUNDRESS衣物柔软精-经典香氛衣物柔顺剂安心温和","190.00","1","LAS-008","null","null","null","交易成功","LAS-008"
="1217355864998502020","【狂欢价】THE LAUNDRESS白色衣物专用亮色洗衣精1L白衣服护色亮色洗衣液","210.00","1","LAS-002","null","null","null","交易成功","LAS-002"
="1338585553122264154","【双11新会员礼】去渍15ml+经典15ml 1分钱付邮试用限2小时内付款","50.00","1","LA20201010001","null","null","null","卖家已发货，等待买家确认","LA20201010001"
="1338615793710531753","【狂欢价】THE LAUNDRESS衣物去渍清洁液475ml清洁污渍酵素浓缩洗衣液","190.00","1","LAS-020","null","null","null","卖家已发货，等待买家确认","LAS-020"
="1338819482233245842","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","交易关闭","LABC-004"
="1338819482233245842","【狂欢价】THE LAUNDRESS衣物香氛喷雾-婴儿香氛125ml衣物香水","100.00","1","LAB-012","null","null","null","交易关闭","LAB-012"
="1338946707539556466","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","交易关闭","LAC-006"
="1217374047456509810","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338650246331998058","【狂欢价】THE LAUNDRESS衣物香氛喷雾-经典香氛250ml香氛香水减淡异味","180.00","1","LAS-010","null","null","null","卖家已发货，等待买家确认","LAS-010"
="1338815522191881977","【双11新会员礼】去渍15ml+经典15ml 1分钱付邮试用限2小时内付款","50.00","1","LA20201010001","null","null","null","卖家已发货，等待买家确认","LA20201010001"
="1337756184430141857","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1338774302179483871","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1217423330088753822","【狂欢价】THE LAUNDRESS衣物香氛喷雾-婴儿香氛125ml衣物香水","100.00","1","LAB-012","null","null","null","卖家已发货，等待买家确认","LAB-012"
="1217432618336531014","【狂欢价】THE LAUNDRESS衣物香氛喷雾-婴儿香氛125ml衣物香水","100.00","1","LAB-012","null","null","null","卖家已发货，等待买家确认","LAB-012"
="1337730480480806036","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","2","LAL-005","null","null","null","卖家已发货，等待买家确认","LAL-005"
="1337736168116141857","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338801014652635956","【双11新会员礼】去渍15ml+经典15ml 1分钱付邮试用限2小时内付款","50.00","1","LA20201010001","null","null","null","卖家已发货，等待买家确认","LA20201010001"
="1217199374751007706","【狂欢价】THE LAUNDRESS口碑星品随心购两件组A经典棉麻婴儿浓缩香氛洗衣液","520.00","1","LA20200923002","净含量：经典2件","null","null","卖家已发货，等待买家确认","LA20200923002"
="1338926943391498959","【狂欢价】THE LAUNDRESS白色衣物专用亮色洗衣精1L白衣服护色亮色洗衣液","210.00","2","LAS-002","null","null","null","交易关闭","LAS-002"
="1338926943391498959","【狂欢价】THE LAUNDRESS深色衣物专用护色洗衣精1L护色增艳洗衣液","210.00","1","LAS-003","null","null","null","卖家已发货，等待买家确认","LAS-003"
="1338574105817107196","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","1","LAL-005","null","null","null","卖家已发货，等待买家确认","LAL-005"
="1338725522454891544","【狂欢价】THE LAUNDRESS白色衣物专用亮色洗衣精1L白衣服护色亮色洗衣液","210.00","1","LAS-002","null","null","null","交易关闭","LAS-002"
="1338725522454891544","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1338725522454891544","【狂欢价】THE LAUNDRESS衣物柔软精-经典香氛衣物柔顺剂安心温和","190.00","1","LAS-008","null","null","null","卖家已发货，等待买家确认","LAS-008"
="1337709924651967741","【狂欢价】THE LAUNDRESS羊毛羊绒专用香氛喷雾125ml除味剂减轻火锅味异味","100.00","1","LAC-014","null","null","null","卖家已发货，等待买家确认","LAC-014"
="1337709924651967741","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1337709924651967741","【双11新会员礼】去渍15ml+经典15ml 1分钱付邮试用限2小时内付款","50.00","1","LA20201010001","null","null","null","卖家已发货，等待买家确认","LA20201010001"
="1338773150581046044","【U先】THE LAUNDRESS经典棉麻衣物洗衣液60ml","90.00","1","LASMS-001","null","null","null","卖家已发货，等待买家确认","LASMS-001"
="1338861855127418050","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","2","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1338861855127418050","【狂欢价】THE LAUNDRESS深色衣物专用护色洗衣精1L护色增艳洗衣液","210.00","1","LAS-003","null","null","null","卖家已发货，等待买家确认","LAS-003"
="1338774051874881977","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","2","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1338774051874881977","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1337774040456521689","【狂欢价】THE LAUNDRESS衣物香氛喷雾-经典香氛250ml香氛香水减淡异味","180.00","1","LAS-010","null","null","null","交易关闭","LAS-010"
="1217339484931805705","【狂欢价】THE LAUNDRESS衣物去渍清洁液475ml清洁污渍酵素浓缩洗衣液","190.00","1","LAS-020","null","null","null","卖家已发货，等待买家确认","LAS-020"
="1217339484931805705","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1338918159142082088","【狂欢价】THE LAUNDRESS羊毛羊绒专用香氛喷雾125ml除味剂减轻火锅味异味","100.00","1","LAC-014","null","null","null","交易关闭","LAC-014"
="1338721166928860745","【U先】THE LAUNDRESS经典棉麻衣物洗衣液60ml","90.00","1","LASMS-001","null","null","null","卖家已发货，等待买家确认","LASMS-001"
="1337727204921022473","【狂欢价】THE LAUNDRESS羊毛羊绒专用香氛喷雾125ml除味剂减轻火锅味异味","100.00","1","LAC-014","null","null","null","交易成功","LAC-014"
="1217369115171767101","【狂欢价】THE LAUNDRESS白色衣物专用亮色洗衣精1L白衣服护色亮色洗衣液","210.00","1","LAS-002","null","null","null","卖家已发货，等待买家确认","LAS-002"
="1337769972072407537","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","3","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1217402522362742912","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","3","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1338596569382313496","【狂欢价】THE LAUNDRESS深色衣物专用护色洗衣精1L护色增艳洗衣液","210.00","3","LAS-003","null","null","null","卖家已发货，等待买家确认","LAS-003"
="1338555097750204545","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","3","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1337714028995138181","THE LAUNDRESS羊毛羊绒专用洁净液60ml羊毛洗护洗衣液洗涤剂","90.00","1","LASMC-006","净含量：羊毛60ml","null","null","卖家已发货，等待买家确认","LASMC-006"
="1338947859249145592","【狂欢价】THE LAUNDRESS衣物柔软精-经典香氛衣物柔顺剂安心温和","190.00","1","LAS-008","null","null","null","卖家已发货，等待买家确认","LAS-008"
="1338909123148586686","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1338928635810520634","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","2","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1217297799898633412","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","2","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338713750889450339","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338713750889450339","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1338713750889450339","【狂欢价】THE LAUNDRESS白色衣物专用亮色洗衣精1L白衣服护色亮色洗衣液","210.00","1","LAS-002","null","null","null","卖家已发货，等待买家确认","LAS-002"
="1338762602071868842","【狂欢价】THE LAUNDRESS衣物柔软精-婴儿香氛475ml宝宝衣物柔顺剂","190.00","1","LAB-008","null","null","null","交易关闭","LAB-008"
="1338712454144054896","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1338782582477764796","【狂欢价】THE LAUNDRESS羊毛羊绒专用香氛喷雾125ml除味剂减轻火锅味异味","100.00","1","LAC-014","null","null","null","交易成功","LAC-014"
="1338912183150273871","【狂欢价】THE LAUNDRESS衣物香氛喷雾-婴儿香氛125ml衣物香水","100.00","1","LAB-012","null","null","null","交易关闭","LAB-012"
="1217223890821267321","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1217223890821267321","【狂欢价】THE LAUNDRESS白色衣物专用亮色洗衣精1L白衣服护色亮色洗衣液","210.00","1","LAS-002","null","null","null","卖家已发货，等待买家确认","LAS-002"
="1217223890821267321","【狂欢价】THE LAUNDRESS衣物去渍清洁液475ml清洁污渍酵素浓缩洗衣液","190.00","1","LAS-020","null","null","null","卖家已发货，等待买家确认","LAS-020"
="1217374659035780815","【狂欢价】THE LAUNDRESS羊毛羊绒专用香氛喷雾125ml除味剂减轻火锅味异味","100.00","1","LAC-014","null","null","null","交易关闭","LAC-014"
="1337730372478362196","【狂欢价】THE LAUNDRESS羊毛羊绒专用香氛喷雾125ml除味剂减轻火锅味异味","100.00","1","LAC-014","null","null","null","卖家已发货，等待买家确认","LAC-014"
="1337727384339410039","【狂欢价】THE LAUNDRESS口碑星品随心购两件组A经典棉麻婴儿浓缩香氛洗衣液","520.00","1","LA20200923008","净含量：经典+深色","null","null","卖家已发货，等待买家确认","LA20200923008"
="1217365656584729723","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338739274922403179","【狂欢价】THE LAUNDRESS专衣专护随心购两件组B羊毛细致内衣去渍清洁洗衣液","480.00","1","LA20201030012","净含量：羊毛羊绒+运动","null","null","交易成功","LA20201030012"
="1338537493193005441","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","2","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1338537493193005441","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","1","LAL-005","null","null","null","卖家已发货，等待买家确认","LAL-005"
="1338537493193005441","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338567445349837083","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","交易成功","LAC-006"
="1338763754464901363","【狂欢价】THE LAUNDRESS深色衣物专用护色洗衣精1L护色增艳洗衣液","210.00","3","LAS-003","null","null","null","交易成功","LAS-003"
="1338772718604533759","【狂欢价】THE LAUNDRESS羊毛羊绒专用香氛喷雾125ml除味剂减轻火锅味异味","100.00","1","LAC-014","null","null","null","交易关闭","LAC-014"
="1338772718604533759","【首礼】THE LAUNDRESS衣物洗衣液60ml洗衣精洗涤剂随心购5选2","180.00","1","LA202002230022","净含量：羊毛+经典","null","null","交易关闭","LA202002230022"
="1338743198446555083","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","2","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1217346540405864614","【狂欢价】THE LAUNDRESS衣物去渍清洁液475ml清洁污渍酵素浓缩洗衣液","190.00","1","LAS-020","null","null","null","卖家已发货，等待买家确认","LAS-020"
="1217346540405864614","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","2","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338768182602164962","【狂欢价】THE LAUNDRESS婴儿洗衣精-无香型初生儿宝宝专用洗衣液洗涤剂","210.00","1","LABC-004U","null","null","null","卖家已发货，等待买家确认","LABC-004U"
="1338546565252539076","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338896127480040330","【狂欢价】THE LAUNDRESS专衣专护随心购两件组B羊毛细致内衣去渍清洁洗衣液","480.00","1","LA20201030002","净含量：细致+羊毛羊绒","null","null","卖家已发货，等待买家确认","LA20201030002"
="1337731956873782471","THE LAUNDRESS婴儿宝宝衣物洗衣液囤货套组洗衣精X3瓶洗涤剂","730.00","1","LA20200923026","净含量：婴儿1L*3","null","null","卖家已发货，等待买家确认","LA20200923026"
="1338889575919572234","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","3","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1338907035829872532","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338907035829872532","【品牌新享】THE LAUNDRESS 细致内衣真丝衣物洗衣液60ml洗涤剂","90.00","1","67000001","null","null","null","卖家已发货，等待买家确认","67000001"
="1337701680203579242","【狂欢价】THE LAUNDRESS衣物香氛喷雾-婴儿香氛125ml衣物香水","100.00","1","LAB-012","null","null","不发韵达","卖家已发货，等待买家确认","LAB-012"
="1338871251728556645","【U先】THE LAUNDRESS经典棉麻衣物洗衣液60ml","90.00","1","LASMS-001","null","null","null","交易关闭","LASMS-001"
="1338503689632337233","【天猫福宝】抗静电喷雾 THE LAUNDRESS衣物抗静电喷雾60ml","80.00","1","67904551","null","null","null","卖家已发货，等待买家确认","67904551"
="1338503689632337233","【狂欢价】THE LAUNDRESS手洗专用衣物去渍皂 56g*2油脂污渍手工洗衣皂","130.00","1","LA-LAB-00","null","null","null","卖家已发货，等待买家确认","LA-LAB-00"
="1338761522509937688","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338761522509937688","【狂欢价】THE LAUNDRESS衣物柔软精-经典香氛衣物柔顺剂安心温和","190.00","2","LAS-008","null","null","null","卖家已发货，等待买家确认","LAS-008"
="1337730876042575075","【狂欢价】THE LAUNDRESS口碑星品随心购两件组A经典棉麻婴儿浓缩香氛洗衣液","520.00","1","LA20200923003","净含量：经典+婴儿","null","null","交易关闭","LA20200923003"
="1217403962406779400","【狂欢价】THE LAUNDRESS手洗专用衣物去渍皂 56g*2油脂污渍手工洗衣皂","130.00","1","LA-LAB-00","null","null","null","卖家已发货，等待买家确认","LA-LAB-00"
="1338749786650657794","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","交易关闭","LAS-001"
="1217352121779050423","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338745970095953576","THE LAUNDRESS洗衣袋洗衣机机洗专用网袋洗毛衣内衣家用防变形","200.00","1","TLBAG","颜色分类：白色","null","null","交易成功","TLBAG"
="1338922515464603445","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","交易成功","LAC-006"
="1338922515464603445","【狂欢价】THE LAUNDRESS羊毛羊绒专用香氛喷雾125ml除味剂减轻火锅味异味","100.00","1","LAC-014","null","null","null","交易成功","LAC-014"
="1216760065176380613","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","交易成功","LAS-001"
="1216760065176380613","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","交易成功","LAC-006"
="1217407094940920406","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","1","LAL-005","null","null","null","卖家已发货，等待买家确认","LAL-005"
="1217407094940920406","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1217418866506987004","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338441373759548890","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1338876507734684184","【狂欢价】THE LAUNDRESS白色衣物专用亮色洗衣精1L白衣服护色亮色洗衣液","210.00","1","LAS-002","null","null","null","卖家已发货，等待买家确认","LAS-002"
="1338876507734684184","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","3","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1338876507734684184","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","3","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1338876507734684184","【狂欢价】THE LAUNDRESS衣物柔软精-婴儿香氛475ml宝宝衣物柔顺剂","190.00","1","LAB-008","null","null","null","卖家已发货，等待买家确认","LAB-008"
="1338876507734684184","【狂欢价】THE LAUNDRESS衣物去渍清洁液475ml清洁污渍酵素浓缩洗衣液","190.00","1","LAS-020","null","null","null","卖家已发货，等待买家确认","LAS-020"
