"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="1335203352857345067","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","1","LAL-005","null","null","null","卖家已发货，等待买家确认","LAL-005"
="1337212083360935978","【狂欢价】THE LAUNDRESS衣物抗静电喷雾60ml*2植物香氛喷雾","160.00","1","LA-LASMS-015","null","null","null","卖家已发货，等待买家确认","LA-LASMS-015"
="1216715138419258607","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","3","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1216715138419258607","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","3","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1205732440075480942","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1336823245470959868","【会员积分兑礼】婴儿洗衣液15ml+婴儿柔顺剂15ml+去渍洗衣液15ml","75.00","1","LA20201010002","null","null","null","交易成功","LA20201010002"
="1205780358056762745","【狂欢价】THE LAUNDRESS衣物香氛喷雾-婴儿香氛125ml衣物香水","100.00","1","LAB-012","null","null","null","卖家已发货，等待买家确认","LAB-012"
="1216609440874445903","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","3","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1205754004187922829","【狂欢价】THE LAUNDRESS衣物柔软精-婴儿香氛475ml宝宝衣物柔顺剂","190.00","2","LAB-008","null","null","null","卖家已发货，等待买家确认","LAB-008"
="1335484908315879867","【狂欢价】THE LAUNDRESS衣物香氛喷雾-婴儿香氛125ml衣物香水","100.00","1","LAB-012","null","null","null","卖家已发货，等待买家确认","LAB-012"
="1216654047677953621","【天猫福宝】抗静电喷雾 THE LAUNDRESS衣物抗静电喷雾60ml","80.00","1","67904551","null","null","null","卖家已发货，等待买家确认","67904551"
="1216654047677953621","【狂欢价】THE LAUNDRESS衣物除皱喷雾250ml衣物柔顺剂","180.00","1","LAS-014","null","null","null","卖家已发货，等待买家确认","LAS-014"
="1216318094683458005","【狂欢价】THE LAUNDRESS衣物柔软精-婴儿香氛475ml宝宝衣物柔顺剂","190.00","6","LAB-008","null","null","null","交易成功","LAB-008"
="1336779073602763173","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","3","LAC-006","null","null","null","交易成功","LAC-006"
="1218512056912820388","THE LAUNDRESS婴儿宝宝衣物洗衣液囤货套组洗衣精X3瓶洗涤剂","730.00","1","LA20200923026","净含量：婴儿1L*3","null","null","卖家已发货，等待买家确认","LA20200923026"
="1216635003403715121","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
